iter	Logloss
0	0.6878228134
1	0.6825553729
2	0.6776802228
3	0.6734076394
4	0.6692928917
5	0.6643568043
6	0.6601452657
7	0.6559936206
8	0.6519436107
9	0.6480079789
10	0.6439788369
11	0.6399477926
12	0.635902331
13	0.6322325546
14	0.6284898055
15	0.6249982763
16	0.621057389
17	0.6175303753
18	0.614292831
19	0.6112289864
20	0.6079453701
21	0.6050595952
22	0.6019390853
23	0.5989722418
24	0.5958298888
25	0.5929671902
26	0.5899652692
27	0.5872220842
28	0.5839525923
29	0.5812644838
30	0.578143145
31	0.5751980567
32	0.5726720036
33	0.570187352
34	0.5677793603
35	0.5652718026
36	0.5626778301
37	0.5603615195
38	0.5579961563
39	0.5558142375
40	0.5535744897
41	0.5518870853
42	0.549656516
43	0.5476546859
44	0.5457094225
45	0.5434791542
46	0.5413399958
47	0.5390073006
48	0.5369382332
49	0.5354804204
50	0.5335854004
51	0.5312832131
52	0.5296801603
53	0.5281394288
54	0.5265286707
55	0.5248612599
56	0.5228883709
57	0.5208978817
58	0.5191317751
59	0.5176790437
60	0.5163938521
61	0.5149039232
62	0.5134204206
63	0.511899885
64	0.5103066113
65	0.5088152635
66	0.5073725619
67	0.5060319754
68	0.5047422089
69	0.5037327379
70	0.5027108416
71	0.5014911403
72	0.5002404125
73	0.498663921
74	0.497428776
75	0.496077491
76	0.4951445101
77	0.4938423701
78	0.4926512322
79	0.4912763522
80	0.4901974415
81	0.4892179248
82	0.4883824714
83	0.4872738121
84	0.4864498214
85	0.4856480803
86	0.48464349
87	0.4838194105
88	0.4828540851
89	0.4820392941
90	0.4810375469
91	0.4802652313
92	0.4795368095
93	0.4782678292
94	0.4772096067
95	0.4765744275
96	0.4756199223
97	0.4745166904
98	0.4736597357
99	0.4731042223
100	0.4721737061
101	0.471544904
102	0.4708905952
103	0.4701697376
104	0.4695370794
105	0.4686599971
106	0.4678356285
107	0.4670254881
108	0.4664446103
109	0.4656895775
110	0.465083526
111	0.4642773899
112	0.4636864273
113	0.4631845233
114	0.4626237563
115	0.4620330844
116	0.4612017761
117	0.460318932
118	0.4598529294
119	0.4592742162
120	0.4585031666
121	0.4579585739
122	0.4574136686
123	0.4568130201
124	0.4560202726
125	0.4554458779
126	0.4549895782
127	0.454382565
128	0.4536924543
129	0.4530293991
130	0.4525776265
131	0.4521636159
132	0.451659516
133	0.4511629255
134	0.4504789734
135	0.4499468662
136	0.4495792146
137	0.449016523
138	0.448600131
139	0.4481438752
140	0.4476343521
141	0.4469516581
142	0.446567846
143	0.4461662039
144	0.445768544
145	0.4452486968
146	0.4446223087
147	0.4441854936
148	0.4435432729
149	0.4431719611
150	0.4428074812
151	0.4423910118
152	0.4420529827
153	0.4417222012
154	0.4413549761
155	0.4409020828
156	0.4405642451
157	0.4401995372
158	0.4397047584
159	0.4391503761
160	0.4387028318
161	0.4384402146
162	0.4380688498
163	0.4376058166
164	0.4371809315
165	0.4369143667
166	0.4367043143
167	0.4363542905
168	0.4360653214
169	0.435816843
170	0.4354488106
171	0.435119958
172	0.4348902055
173	0.4346811837
174	0.4343603957
175	0.4339102841
176	0.4335840846
177	0.4333044885
178	0.4330473868
179	0.4328531107
180	0.4323811865
181	0.4320852801
182	0.4316395864
183	0.4314107748
184	0.4311400181
185	0.4308946222
186	0.4306544196
187	0.430210235
188	0.4299910657
189	0.4296794776
190	0.4293247942
191	0.4290658176
192	0.4288598262
193	0.4286538355
194	0.4284425624
195	0.4281666586
196	0.4279422592
197	0.4277252813
198	0.4275028635
199	0.4272006768
200	0.4269341786
201	0.4265661901
202	0.4263886721
203	0.4260886732
204	0.4257919102
205	0.4256619539
206	0.4254274689
207	0.4252112162
208	0.4250042549
209	0.4246952524
210	0.4244674639
211	0.424268693
212	0.4240033807
213	0.423751684
214	0.4235390541
215	0.4233645751
216	0.4231745497
217	0.4229300408
218	0.4227140835
219	0.4225885418
220	0.4224034373
221	0.4222171207
222	0.4220574909
223	0.4218742872
224	0.4216759495
225	0.4215597045
226	0.4213238924
227	0.4212005838
228	0.4210047071
229	0.4208669793
230	0.4206630665
231	0.4204766289
232	0.4202601598
233	0.4200989842
234	0.4199156242
235	0.4196728249
236	0.4195367888
237	0.4193849305
238	0.4191940162
239	0.4190020089
240	0.4188017669
241	0.4186369936
242	0.4184175473
243	0.4182154594
244	0.4180425002
245	0.4177937661
246	0.417576738
247	0.4174521146
248	0.4173302102
249	0.4171333518
250	0.4169232742
251	0.4167653608
252	0.4166502422
253	0.41656145
254	0.416392103
255	0.4162167812
256	0.4160797535
257	0.4158740226
258	0.4156757767
259	0.4155068626
260	0.4153013792
261	0.4151850216
262	0.4150269457
263	0.4149061767
264	0.4147393888
265	0.4145814287
266	0.4144681771
267	0.4143174437
268	0.4141559533
269	0.4140430018
270	0.4138179804
271	0.4136861308
272	0.4135685614
273	0.4134330967
274	0.4132477763
275	0.4131691113
276	0.4130202548
277	0.412902241
278	0.412799713
279	0.4127054364
280	0.4125992387
281	0.4124987099
282	0.4123595753
283	0.4122111624
284	0.4120937063
285	0.4119717474
286	0.4118355913
287	0.4117278562
288	0.411630495
289	0.4115066074
290	0.4114349789
291	0.4112423814
292	0.4111433397
293	0.4110298906
294	0.4108336853
295	0.4107339787
296	0.4106478574
297	0.4105529678
298	0.4104588305
299	0.4103689277
300	0.4101750312
301	0.4100560935
302	0.4099341776
303	0.4098542466
304	0.4097270054
305	0.4096394551
306	0.4094789355
307	0.4093229987
308	0.4091997735
309	0.409089244
310	0.4089118146
311	0.4087880267
312	0.40865452
313	0.4085797081
314	0.4084803772
315	0.408364457
316	0.4082652369
317	0.408182838
318	0.4081111394
319	0.4079888128
320	0.4078975396
321	0.4078212657
322	0.407707426
323	0.4076210666
324	0.4075065361
325	0.4073797408
326	0.4072605258
327	0.4071560142
328	0.4070422159
329	0.4069741107
330	0.4068654512
331	0.406729436
332	0.4066435924
333	0.4065121604
334	0.4064635943
335	0.406343364
336	0.4062599566
337	0.4061456885
338	0.4060792757
339	0.4060020571
340	0.4059489711
341	0.4058498096
342	0.4057417936
343	0.4056433001
344	0.4055003309
345	0.4054377683
346	0.4053318621
347	0.4052128736
348	0.405134185
349	0.4050740183
350	0.404951634
351	0.4048496389
352	0.4047663248
353	0.4046544917
354	0.4045642866
355	0.4045079976
356	0.4044424465
357	0.4042796302
358	0.4041768301
359	0.4041206104
360	0.4040314026
361	0.4039631696
362	0.4038595929
363	0.4038118202
364	0.4037216689
365	0.403555911
366	0.4034702457
367	0.4034121696
368	0.4033397565
369	0.403270379
370	0.4032038603
371	0.4031241789
372	0.4030558406
373	0.4029694765
374	0.4029015393
375	0.4028220362
376	0.4027408606
377	0.4026414036
378	0.4025917517
379	0.4025260176
380	0.4024273284
381	0.4023441729
382	0.4022924394
383	0.4022260993
384	0.4021550909
385	0.4020712183
386	0.4019413788
387	0.4018852451
388	0.4018417332
389	0.4017770488
