iter	Passed	Remaining
0	4	5345
1	11	7293
2	16	6891
3	21	6597
4	28	7037
5	33	6989
6	39	7107
7	44	6996
8	49	6848
9	54	6770
10	65	7383
11	69	7191
12	79	7636
13	83	7458
14	89	7418
15	94	7369
16	98	7224
17	104	7211
18	109	7158
19	117	7278
20	124	7324
21	130	7330
22	134	7246
23	141	7270
24	146	7233
25	150	7127
26	158	7225
27	165	7293
28	170	7217
29	176	7233
30	180	7172
31	191	7355
32	196	7299
33	201	7263
34	206	7226
35	210	7172
36	215	7115
37	220	7085
38	225	7050
39	229	6996
40	235	7002
41	240	6973
42	244	6911
43	250	6912
44	256	6919
45	260	6871
46	265	6849
47	271	6866
48	276	6837
49	280	6791
50	286	6790
51	291	6777
52	297	6770
53	302	6749
54	306	6721
55	311	6697
56	316	6676
57	321	6670
58	326	6648
59	330	6615
60	335	6601
61	340	6577
62	345	6564
63	349	6538
64	354	6526
65	359	6510
66	364	6485
67	369	6473
68	375	6476
69	379	6447
70	384	6432
71	390	6435
72	394	6414
73	399	6401
74	404	6388
75	408	6362
76	415	6376
77	419	6360
78	428	6401
79	434	6415
80	440	6405
81	444	6380
82	449	6377
83	454	6369
84	459	6346
85	464	6338
86	469	6324
87	473	6309
88	478	6295
89	484	6300
90	492	6320
91	497	6311
92	501	6291
93	507	6301
94	513	6297
95	518	6285
96	523	6280
97	528	6266
98	534	6262
99	541	6278
100	545	6257
101	549	6237
102	556	6247
103	561	6245
104	565	6224
105	570	6211
106	576	6217
107	582	6215
108	586	6197
109	592	6198
110	598	6195
111	605	6210
112	610	6192
113	614	6174
114	621	6189
115	626	6176
116	630	6159
117	637	6169
118	643	6168
119	648	6161
120	655	6174
121	660	6157
122	664	6146
123	672	6157
124	677	6149
125	681	6129
126	687	6134
127	692	6124
128	697	6111
129	701	6098
130	707	6094
131	711	6077
132	715	6064
133	723	6078
134	728	6066
135	734	6069
136	740	6066
137	744	6052
138	751	6060
139	756	6054
140	760	6038
141	771	6071
142	776	6062
143	780	6048
144	787	6053
145	793	6055
146	798	6046
147	804	6043
148	810	6040
149	814	6027
150	821	6030
151	826	6025
152	831	6015
153	838	6019
154	843	6011
155	849	6013
156	856	6019
157	864	6032
158	871	6033
159	876	6025
160	880	6012
161	886	6008
162	892	6008
163	896	5994
164	904	5999
165	909	5993
166	914	5987
167	922	5997
168	930	6005
169	939	6024
170	944	6016
171	952	6022
172	957	6015
173	961	6003
174	968	6003
175	973	5994
176	978	5984
177	982	5972
178	988	5970
179	993	5963
180	1001	5971
181	1005	5956
182	1011	5954
183	1018	5958
184	1027	5969
185	1034	5974
186	1040	5970
187	1048	5979
188	1057	5990
189	1064	5996
190	1070	5989
191	1075	5983
192	1082	5986
193	1087	5975
194	1094	5975
195	1099	5970
196	1107	5974
197	1115	5981
198	1120	5975
199	1125	5964
200	1130	5955
201	1134	5944
202	1139	5933
203	1146	5934
204	1150	5920
205	1155	5911
206	1162	5911
207	1167	5903
208	1172	5894
209	1178	5892
210	1183	5883
211	1188	5872
212	1192	5861
213	1198	5856
214	1202	5846
215	1207	5835
216	1214	5835
217	1218	5825
218	1222	5813
219	1227	5803
220	1235	5807
221	1240	5799
222	1244	5785
223	1249	5780
224	1255	5773
225	1260	5768
226	1264	5754
227	1269	5748
228	1275	5744
229	1279	5730
230	1284	5721
231	1290	5716
232	1294	5705
233	1299	5698
234	1306	5696
235	1311	5689
236	1315	5678
237	1322	5677
238	1326	5667
239	1331	5658
240	1337	5653
241	1343	5650
242	1350	5653
243	1356	5649
244	1361	5639
245	1365	5627
246	1377	5648
247	1381	5636
248	1387	5631
249	1393	5631
250	1401	5635
251	1408	5634
252	1414	5628
253	1418	5619
254	1424	5612
255	1430	5609
256	1435	5603
257	1443	5604
258	1450	5606
259	1465	5636
260	1475	5648
261	1490	5678
262	1509	5720
263	1525	5756
264	1544	5799
265	1562	5839
266	1579	5873
267	1584	5864
268	1601	5901
269	1610	5906
270	1619	5909
271	1632	5929
272	1657	5991
273	1662	5983
274	1670	5983
275	1675	5972
276	1679	5959
277	1684	5949
278	1690	5942
279	1694	5929
280	1698	5916
281	1703	5908
282	1707	5896
283	1712	5884
284	1718	5878
285	1722	5865
286	1726	5852
287	1732	5847
288	1736	5834
289	1741	5824
290	1747	5817
291	1751	5807
292	1758	5802
293	1762	5792
294	1767	5783
295	1773	5776
296	1779	5768
297	1784	5759
298	1791	5756
299	1797	5753
300	1802	5743
301	1808	5735
302	1814	5730
303	1820	5726
304	1827	5720
305	1835	5720
306	1842	5718
307	1846	5708
308	1852	5699
309	1858	5694
310	1866	5694
311	1872	5689
312	1877	5680
313	1883	5674
314	1887	5663
315	1893	5655
316	1901	5655
317	1906	5648
318	1914	5646
319	1918	5634
320	1924	5628
321	1927	5616
322	1932	5605
323	1938	5598
324	1943	5591
325	1947	5580
326	1953	5572
327	1959	5568
328	1964	5560
329	1969	5549
330	1974	5542
331	1979	5532
