iter	Passed	Remaining
0	2	2426
1	6	3109
2	13	4381
3	18	4538
4	23	4728
5	30	5015
6	32	4662
7	40	4984
8	42	4686
9	47	4671
10	51	4659
11	60	4945
12	64	4896
13	69	4885
14	73	4858
15	79	4862
16	83	4814
17	88	4829
18	94	4858
19	99	4873
20	105	4897
21	110	4912
22	122	5200
23	129	5267
24	138	5382
25	144	5407
26	149	5396
27	158	5491
28	163	5478
29	169	5481
30	175	5478
31	177	5365
32	183	5364
33	188	5347
34	193	5335
35	200	5358
36	204	5328
37	209	5294
38	215	5303
39	222	5334
40	225	5278
41	230	5264
42	237	5287
43	244	5320
44	251	5331
45	259	5378
46	268	5434
47	273	5429
48	279	5427
49	287	5458
50	291	5415
51	293	5345
52	297	5319
53	301	5284
54	303	5207
55	308	5200
56	312	5177
57	317	5150
58	322	5139
59	324	5090
60	330	5081
61	335	5078
62	339	5051
63	341	4999
64	347	4999
65	352	4981
66	357	4973
67	361	4955
68	366	4940
69	370	4925
70	377	4940
71	381	4917
72	385	4896
73	389	4879
74	392	4836
75	397	4836
76	402	4823
77	408	4823
78	412	4806
79	416	4789
80	419	4761
81	422	4735
82	426	4708
83	431	4704
84	435	4691
85	441	4690
86	449	4722
87	458	4756
88	463	4748
89	470	4757
90	476	4762
91	478	4721
92	484	4720
93	490	4726
94	496	4726
95	500	4712
96	506	4713
97	509	4689
98	514	4685
99	521	4692
100	528	4702
101	532	4691
102	540	4704
103	542	4669
104	548	4674
105	555	4684
106	559	4668
107	564	4662
108	570	4661
109	574	4647
110	579	4644
111	585	4638
112	587	4607
113	591	4597
114	597	4595
115	601	4580
116	606	4580
117	610	4564
118	615	4553
119	621	4558
120	623	4531
121	627	4516
122	633	4517
123	637	4504
124	641	4492
125	647	4494
126	653	4492
127	656	4471
128	661	4465
129	666	4460
130	670	4449
131	676	4445
132	677	4416
133	681	4405
134	686	4400
135	689	4382
136	695	4382
137	699	4367
138	705	4372
139	710	4364
140	715	4361
141	720	4355
142	725	4349
143	729	4337
144	734	4329
145	738	4318
146	739	4293
147	745	4289
148	749	4280
149	754	4275
150	759	4269
151	763	4259
152	769	4261
153	774	4257
154	778	4244
155	781	4227
